Nom de la ressource,Objet,Enjeux politiques,Enjeux Opérationnels,Phase,Lien vers la ressources,Type,Producteurs,Contexte Projet,Status,Date de mise à jour
10 commandements,,"Transparence,Transformation ,Gouvernance des données","Partage,Qualité,Réutilisation,Animation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/10-commandements-de-louverture-des-donnees-publiques,Guides / doc.,OpenDataFrance,OpenDataLocale,Peut être à reclasser ailleurs,
Animation territoriale Open data,,Mutualisation,"Animation,Réutilisation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/opendatalocale,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Autres formats d’animation de l’ouverture des données,,Transformation ,"Réutilisation,Animation",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/autres-formats-danimation-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Cahiers de Charge AMO Data,,Gouvernance des données,Organisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/exemple-de-documents/cahiers-de-charge-amo-data,Guides / web,OpenDataFrance,ODL - Exemples de documents,Exemples de documents - mettre à jour ?,
Cartopartie,,Transformation ,"Réutilisation,Acquisition,Animation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/cartopartie,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Choisir un portail open data,,"Mutualisation,Transformation ","Partage,Architecture,Organisation",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/choisir-un-portail-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,
Choix des licences open data,,"Conformité,Confiance",Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/choix-des-licences-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,
Clauses à insérer dans les marchés publics,,"Transparence,Innovation,Autonomie,Transformation ,Conformité",Partage,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/clause-a-inserer-dans-les-marches-publics,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,
Comment afficher sur son site web des données publiées sur data.gouv.fr,,"Mutualisation,Gouvernance des données",Architecture,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/comment-afficher-sur-son-site-web-des-donnees-publiees-sur-data.gouv.fr,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,
Comment publier en open data en présence de données à caractère personnel,,Confiance,"Acquisition,Conservation",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/comment-publier-en-open-data-en-presence-de-donnees-a-caractere-personnel,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,
Comment publier un jeu de données sur  data.gouv.fr,,Mutualisation,"Partage,Architecture",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/comment-publier-un-jeu-de-donnees-sur-data.gouv.fr,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,
Comprendre le cycle de vie des données,,"Transparence,Transformation ,Gouvernance des données","Partage,Protection,Acquisition,Qualité,Conservation,Réutilisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/comprendre-le-cycle-de-vie-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,
Consultation pour un portail OpenData,,Gouvernance des données,"Partage,Organisation,Architecture",Produire,https://opendatafrance.gitbook.io/odl-ressources/exemple-de-documents/consultation-pour-un-portail-opendata,Guides / web,OpenDataFrance,ODL - Exemples de documents,Exemples de documents - mettre à jour ?,
Convention d'accompagnement,,Mutualisation,"Animation,Organisation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/animations-territoriales/convention-daccompagnement,Guides / web,OpenDataFrance,ODL - Animations territoriales,Animations territoriales - mettre à jour ?,
D-Lyne,Service d'aide à la production de données de qualité,"Conformité,Innovation,Gouvernance des données","Acquisition,Qualité,Réutilisation",Produire,https://opendatafrance.gitbook.io/d-lyne/,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022
Dataclic,Extracteur de données depuis des bases nationales,"Transparence,Innovation,Pilotage Politiques Publiques,Gouvernance des données","Acquisition,Réutilisation",Produire,https://dataclic.fr,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022
Dataposition Agent/Elu,,Transformation ,"Partage,Protection,Valorisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/animations-territoriales/dataposition-agent,Guides / web,OpenDataFrance,ODL - Animations territoriales,Animations territoriales - mettre à jour ?,
Définition : les données,,"Transparence,Conformité,Innovation,Transformation ",Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/definition-les-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Définition : Les données ouvertes,,"Transparence,Transformation ,Innovation,Conformité",Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/definition-les-donnees-ouvertes,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Dispositifs de publication des données en open data,,"Transformation ,Mutualisation","Partage,Architecture",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/dispositifs-de-publication-des-donnees-en-open-data,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Documenter les données avant  publication,,"Confiance,Gouvernance des données","Partage,Qualité",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/documenter-les-donnees-avant-publication,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,
Exemple de délibération en vue du lancement d’un projet open data dans une commune,Le lancement d’un projet open data est un acte politique important qu’il est nécessaire d’officialiser par une décision en conseil municipal ou communautaire. Voici un exemple de texte de délibération.,"Transparence,Innovation,Transformation ,Conformité",Partage,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/exemple-de-deliberation-en-vue-du-lancement-dun-projet-open-data-dans-une-commune,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,
Fiche de poste Chef de projet Data,,"Transformation ,Gouvernance des données",Organisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/exemple-de-documents/fiche-de-poste-chef-de-projet-data,Guides / web,OpenDataFrance,ODL - Exemples de documents,Exemples de documents - mettre à jour ?,
Foire aux questions sur la licence ODbL,,"Conformité,Confiance",Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/foire-aux-questions-sur-la-licence-odbl,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,
GéoDataMine,Service d'extraction des données d'OpenStreetMap,"Mutualisation,Innovation","Acquisition,Partage,Réutilisation",Produire,https://geodatamine.fr,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022
Guide pédagogique RGPD,,"Confiance,Conformité",Protection,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/guide-pedagogique-rgpd,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,
Hackathon,,"Transformation ,Mutualisation,Innovation,Pilotage Politiques Publiques","Animation,Réutilisation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/hackathon,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Identifier les collectivités de son périmètre d'intervention,,"Mutualisation,Transformation ","Animation,Organisation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/animations-territoriales/identifier-les-collectivites-de-son-perimetre-dintervention,Guides / web,OpenDataFrance,ODL - Animations territoriales,Animations territoriales - mettre à jour ?,
Infolab,"L’infolab est un espace collaboratif dédié à la compréhension, la manipulation et l’exploration de données. C’est un espace qui accueille des publics, librement et en permanence. Il les accompagne dans l’exploration et la manipulation des données, à travers, des ateliers, des expositions, des débats, des manifestations, des formations aux données, etc.","Transformation ,Innovation","Réutilisation,Animation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/infolab,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Inventaire des lois en rapport avec l'open data,,Conformité,"Partage,Protection",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/inventaire-des-lois-en-rapport-avec-lopen-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,
La donnée au coeur de la transformation numérique des territoires,plateforme d'autoformation (MOOC) aux enjeux de la donéne,"Transparence,Conformité,Transformation ,Innovation,Pilotage Politiques Publiques","Qualité,Partage,Réutilisation,Protection",Comprendre,https://www.opendatafrance.net/2021/11/01/formation-data/,Services / Formation en Ligne,OpenDataFrance,OpenDataLocale,A jour (2022),Mars 2022
Le glossaire de la donnée,,"Transparence,Transformation ,Innovation,Confiance,Conformité",Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/le-glossaire-de-la-donnee,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Les acteurs associatifs de l’ouverture des données,,Mutualisation,"Partage,Réutilisation,Animation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-acteurs-associatifs-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Les acteurs économiques de l’ouverture des données,,"Mutualisation,Transformation ",Animation,Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-acteurs-economiques-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Les acteurs publics nationaux de l’ouverture des données,,"Transformation ,Mutualisation",Animation,Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-acteurs-publics-territoriaux-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Les acteurs publics territoriaux de l’ouverture des données,,"Mutualisation,Transformation ",Animation,Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-acteurs-publics-nationaux-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Les données ayant un caractère particulier,,"Conformité,Confiance",Protection,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-donnees-ayant-un-caractere-particulier,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Les données prioritaires,,"Mutualisation,Transformation ,Innovation","Partage,Qualité",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/les-donnees-prioritaires,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - faire le lien avec SCDL,
Les métiers autour des données,,Transformation ,"Organisation,Réutilisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-metiers-autour-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Les premières étapes pour s’engager dans une démarche d’ouverture des données,,"Transparence,Transformation ","Organisation,Partage",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/les-premieres-etapes-pour-sengager-dans-une-demarche-douverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Les réutilisations de données,,"Transparence,Confiance,Transformation ,Innovation,Pilotage Politiques Publiques",Réutilisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/les-reutilisations-de-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Les tiers-lieux et acteurs de la médiation numérique,,"Transformation ,Mutualisation","Réutilisation,Partage,Animation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/les-tiers-lieux-et-acteurs-de-la-mediation-numerique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Mentions légales pour un portail open data,,"Gouvernance des données,Conformité",Partage,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/mentions-legales-pour-un-portail-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,
Mois de la data,deux séries de 10 webinaires sur les enjeux de la donnée,"Transparence,Confiance,Conformité,Transformation ,Mutualisation,Innovation,Pilotage Politiques Publiques,Gouvernance des données,Autonomie,autres","Qualité,Protection,Partage,Valorisation,Conservation,Réutilisation,Animation,Organisation",Produire,https://opendatafrance.gitbook.io/le-mois-de-la-data/,Guides / vidéo,OpenDataFrance,OpenDataLocale,A jour (2022),Mars 2022
Opendatalocale présentation,Présentation du dispositif d'accompagnement des cllectivités ,Mutualisation,"Partage,Animation,Organisation",Animer,https://opendatafrance.gitbook.io/opendatalocale/,Guides / web,OpenDataFrance,ODL,Mettre à jour,
Ouvrir les données : une obligation légale,,Conformité,"Partage,Protection",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/ouvrir-les-donnees-une-obligation-legale,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Ouvrir les données pour l’innovation économique,,"Innovation,Transformation ","Partage,Réutilisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/ouvrir-les-donnees-pour-linnovation-economique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Ouvrir les données pour la démocratie,,"Transparence,Conformité","Partage,Valorisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/ouvrir-les-donnees-pour-la-democratie,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Ouvrir les données pour la modernisation de l’action publique,,"Transformation ,Pilotage Politiques Publiques",Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/ouvrir-les-donnees-pour-la-modernisation-de-laction-publique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Préparer les données pour une publication en open data,,"Confiance,Gouvernance des données","Qualité,Partage",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/preparer-les-donnees-pour-une-publication-en-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - faire le lien avec SCDL,
Prestataires Conseil en opendata,,Gouvernance des données,Organisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/references/prestataires-conseil-en-opendata,Guides / web,OpenDataFrance,ODL - Liste de prestataires,Liste de prestataires à mettre à jour,
Produire un fichier CSV de qualité,,Gouvernance des données,Qualité,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/produire-un-fichier-csv-de-qualite,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,
Socle Commun des Données Locales,Données prioritaires normalisées,"Conformité,Confiance,Innovation,Gouvernance des données","Qualité,Réutilisation",Produire,https://schema.data.gouv.fr/schemas.html?q=&label=Socle%20Commun%20des%20Données%20Locales,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022
"Transparence, Concertation, Observatoire",,Transparence,Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/concertation-publique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Validata,Validateur des jeux de données standardisés,"Conformité,Confiance,Innovation,Gouvernance des données","Qualité,Réutilisation",Produire,https://validata.fr,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022